,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,35936250.0
1,Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,256687500.0
3,Maruti Ertiga VDI,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,123210000.0
6,Nissan Micra Diesel XV,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,71872500.0
12,Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,114996000.0
16,Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,110889000.0
20,BMW 3 Series 320d,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,380924250.0
23,Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,38400450.0
26,Nissan Micra Diesel XV,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,87273750.0
27,Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,56471250.0
29,Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7.0,82140000.0
32,Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,256687500.0
39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,102675000.0
40,Maruti Alto LXi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,25668750.0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,440065050.0
53,Maruti Swift VDI,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,79059750.0
54,Hyundai Grand i10 Sportz,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5.0,73926000.0
56,Renault KWID RXT,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,67765500.0
61,Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,56471250.0
65,Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,277222500.0
71,Mahindra XUV500 W8 4WD,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,198162750.0
80,Maruti Swift VDI,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,77006250.0
83,Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,57498000.0
84,Maruti Ritz VDi,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,63863850.0
87,Hyundai i10 Sportz 1.2,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,46203750.0
88,Hyundai Grand i10 Sportz,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,118076250.0
91,Toyota Fortuner 4x2 Manual,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,338827500.0
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,112942500.0
94,Mahindra XUV500 W8 2WD,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,166333500.0
